family,scoring,selection_target,selection_metric,selection_rule,best_overall_mean_test_score,threshold_1se_score_space,selected_is_within_1se,selected_score_minus_threshold,best_score_mean_test,best_std_test,best_mean_train,gap_train_minus_test_score_space,rmse_cv_Flux,rmse_train_Flux,gap_rmse_Flux,complexity,best_params,gap_filter_tol,use_gap_filter,r2_Alim_T_out,r2_Ref_T_out,r2_Flux,rmse_Alim_T_out,rmse_Ref_T_out,rmse_Flux,rank_by_score_space,rank_by_flux_rmse
MLP_sklearn,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.06848405667268932,-0.08337863370013478,True,0.014894577027445455,-0.06848405667268932,0.01489457702744546,-0.03591994252791433,0.032564114144774996,0.06848405667268932,0.03591994252791433,0.032564114144774996,64.1,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.003}",0.02,False,0.9221890564893953,0.9249061058262613,0.9696834215418518,0.36765980458604314,1.0671711569882625,0.07064875152220626,1,1
OLS,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.0821202928474359,-0.10593515084692441,True,0.023814857999488515,-0.0821202928474359,0.02381485799948851,-0.07006310752277535,0.012057185324660546,0.0821202928474359,0.07006310752277535,0.012057185324660546,0.0,{},0.02,False,0.9650242558716557,0.9958551753363194,0.9522627336854103,0.2464956689195332,0.25071761477628146,0.08865294592827574,2,2
Lasso_MultiTask,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.08212658068212524,-0.10594406000676895,True,0.02278763030959767,-0.08315642969717128,0.024374198674426483,-0.07026837290699511,0.01288805679017617,0.08315642969717128,0.07026837290699511,0.01288805679017617,2.0,{'model__alpha': 0.01},0.02,False,0.9653692237494114,0.9958371255215643,0.9507496876657114,0.2452770558213909,0.2512629322234856,0.09004692641106558,3,3
Lasso_Indep(MultiOutputRegressor),neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.08212501380257471,-0.1059397232488484,True,0.022746072359557848,-0.08319365088929055,0.024277912531842465,-0.07052079008161831,0.012672860807672243,0.08319365088929055,0.07052079008161831,0.012672860807672243,2.0,{'model__estimator__alpha': 0.01},0.02,False,0.9646874735735245,0.9948820943493695,0.9505930227974156,0.247679582186024,0.2785979415972014,0.090190031990407,4,4
Ridge,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.08212046762051207,-0.10593540006993905,True,0.015579521312186734,-0.09035587875775232,0.031167681648425153,-0.07513930265491803,0.015216576102834292,0.09035587875775232,0.07513930265491803,0.015216576102834292,-1.0,{'model__alpha': 10},0.02,False,0.9618913871335681,0.9893919851552032,0.9381852516307064,0.257298575489295,0.4010964563788642,0.10088124930803342,5,5
ElasticNet_Indep(MultiOutputRegressor),neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.08212178795781815,-0.10593682413073457,True,0.0056804456123156905,-0.10025637851841888,0.03540233405844657,-0.08255369594588043,0.01770268257253846,0.10025637851841888,0.08255369594588043,0.01770268257253846,1.007,"{'model__estimator__alpha': 0.1, 'model__estimator__l1_ratio': 0.3}",0.02,False,0.9489032344865708,0.9824560949178108,0.923430461285311,0.2979356798748811,0.5158161079260138,0.11227741738618202,6,6
ElasticNet_MultiTask,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.08212194771924856,-0.10593725897044846,True,0.0024232991295518036,-0.10351395984089666,0.03732282840700506,-0.08135649717350578,0.02215746266739088,0.10351395984089666,0.08135649717350578,0.02215746266739088,1.005,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}",0.02,False,0.9554812929228096,0.9882072091465788,0.9183732044832429,0.27809749875554424,0.42290231629460845,0.1159259791390412,7,7
GB,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.28770402438876946,-0.3770994749166128,True,0.03495117636771655,-0.3421482985488962,0.1252965008097632,-0.07276089206041154,0.2693874064884847,0.3421482985488962,0.07276089206041154,0.2693874064884847,1.1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 1, 'model__estimator__min_samples_leaf': 1, 'model__estimator__n_estimators': 100, 'model__estimator__subsample': 0.6}",0.02,False,0.7458317679207593,0.9860703074593368,0.1309960434043631,0.6644869334670687,0.4596238232893229,0.37824681166450247,8,8
RF,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.36733498428682565,-0.5530936951660232,True,0.14109355781743665,-0.4120001373485866,0.20053995302734728,-0.2088376633714263,0.20316247397716028,0.4120001373485866,0.2088376633714263,0.20316247397716028,2.19999,"{'model__max_depth': 2, 'model__max_features': 0.5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.02,False,0.3285971056408564,0.6752196195217085,-0.41190253936147436,1.0799842347845472,2.2193544012523163,0.4821328895858236,9,9
DT,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.4080373709827969,-0.5445522377036051,True,0.06098247642265148,-0.4835697612809536,0.15596866350572036,-0.2112110411086419,0.27235872017231166,0.4835697612809536,0.2112110411086419,0.27235872017231166,2.99,"{'model__ccp_alpha': 0.0, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.02,False,0.20781534089672227,0.7955168231922715,-0.6959950767623713,1.1731107789382567,1.761004872014126,0.5284168923765397,10,10
