Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.45218276977539,55.8363,54.86720287,57.12447738647461,1.4075,1.368130956,1.5507460832595825
33.4237,34.98746265,33.3095817565918,56.0092,54.85814728,57.14815139770508,1.4288,1.376794256,1.5475928783416748
33.6627,35.25413909,33.572200775146484,56.0744,54.93088563,57.14698028564453,1.4075,1.364961288,1.558682918548584
34.0641,36.16073869,34.02401351928711,64.7119,63.64555128,62.17658615112305,2.0988,2.004611576,1.9463467597961426
34.2121,36.30626093,34.175811767578125,64.7208,63.66766071,62.217018127441406,2.0487,1.998075621,1.961301326751709
34.3609,36.431598,34.29644012451172,64.8056,63.73537183,62.302772521972656,2.0052,1.996374393,1.9736599922180176
33.3564,34.89368045,33.4385871887207,66.112,65.33433328,65.5633544921875,1.3868,1.381707961,1.569947361946106
33.1354,34.60677149,33.12826919555664,66.0814,65.22227672,65.62646484375,1.3668,1.38715286,1.5656440258026123
33.3162,34.86044924,33.40205383300781,66.0898,65.30870243,65.56197357177734,1.3848,1.382099535,1.5703246593475342
34.339,36.4364716,34.30307388305664,64.7182,63.72216188,62.2968635559082,2.0052,1.996656313,1.9731913805007935
34.4295,36.35810091,34.22724533081055,64.7837,63.71163744,62.26707077026367,2.0052,1.999782852,1.9655964374542236
34.3078,36.28490012,34.15606689453125,64.7561,63.66763336,62.21276092529297,2.0487,2.000663338,1.958186388015747
34.3692,35.96340577,34.15094757080078,55.0317,54.05987679,56.04645538330078,1.0843,1.069725352,1.149941086769104
34.3832,35.95915417,34.148075103759766,55.018,54.07085723,56.05287170410156,1.123,1.070394655,1.1487852334976196
34.3098,35.87807259,34.06907653808594,55.0008,54.05483261,56.03341293334961,1.123,1.073421357,1.1478307247161865
33.3257,34.52011259,33.433921813964844,55.9979,55.56729861,57.934425354003906,0.857,0.7491043823,0.7829400300979614
33.2663,34.44114787,33.33652114868164,55.9708,55.54963815,57.88756561279297,0.8729,0.7509123426,0.7823086380958557
33.2044,34.42965591,33.32735061645508,55.9284,55.51702424,57.85379409790039,0.8818,0.7495337542,0.7804075479507446
34.0834,35.49147549,34.36488342285156,64.7498,64.50082597,65.28897094726562,1.1351,1.128438653,1.1030738353729248
34.1634,35.58165103,34.475101470947266,64.729,64.48211605,65.29285430908203,1.123,1.12400308,1.102510929107666
34.0391,35.39782135,34.25688171386719,64.6666,64.45815474,65.2368392944336,1.1098,1.128390273,1.095824956893921
35.7794,37.38469101,35.370609283447266,63.3489,62.65111545,63.2680549621582,1.598,1.615545302,1.583777666091919
35.5309,37.25195841,35.2369499206543,63.2641,62.58240094,63.14564514160156,1.6255,1.618195605,1.5790555477142334
