Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.19233322143555,55.8363,54.86720287,56.85722351074219,1.4075,1.368130956,1.4370167255401611
33.4237,34.98746265,33.058128356933594,56.0092,54.85814728,56.8924560546875,1.4288,1.376794256,1.4433488845825195
33.6627,35.25413909,33.30640411376953,56.0744,54.93088563,56.89093780517578,1.4075,1.364961288,1.4356772899627686
34.0641,36.16073869,33.70161819458008,64.7119,63.64555128,64.45367431640625,2.0988,2.004611576,1.9391989707946777
34.2121,36.30626093,33.8332405090332,64.7208,63.66766071,64.45384216308594,2.0487,1.998075621,1.9398866891860962
34.3609,36.431598,33.954132080078125,64.8056,63.73537183,64.47274017333984,2.0052,1.996374393,1.942167043685913
33.3564,34.89368045,32.964900970458984,66.112,65.33433328,64.4224853515625,1.3868,1.381707961,1.28020179271698
33.1354,34.60677149,32.71298599243164,66.0814,65.22227672,64.45796966552734,1.3668,1.38715286,1.2900927066802979
33.3162,34.86044924,32.9348030090332,66.0898,65.30870243,64.41584777832031,1.3848,1.382099535,1.281341791152954
34.339,36.4364716,33.96553421020508,64.7182,63.72216188,64.44161224365234,2.0052,1.996656313,1.9402720928192139
34.4295,36.35810091,33.88810729980469,64.7837,63.71163744,64.45392608642578,2.0052,1.999782852,1.939767837524414
34.3078,36.28490012,33.81965255737305,64.7561,63.66763336,64.4383544921875,2.0487,2.000663338,1.9381829500198364
34.3692,35.96340577,33.99752426147461,55.0317,54.05987679,56.82142639160156,1.0843,1.069725352,1.2398792505264282
34.3832,35.95915417,33.99526596069336,55.018,54.07085723,56.826297760009766,1.123,1.070394655,1.238603949546814
34.3098,35.87807259,33.93044662475586,55.0008,54.05483261,56.813232421875,1.123,1.073421357,1.2387810945510864
33.3257,34.52011259,33.212284088134766,55.9979,55.56729861,57.70640182495117,0.857,0.7491043823,0.7543054819107056
33.2663,34.44114787,33.133296966552734,55.9708,55.54963815,57.71083068847656,0.8729,0.7509123426,0.7580358982086182
33.2044,34.42965591,33.128273010253906,55.9284,55.51702424,57.67780303955078,0.8818,0.7495337542,0.7561160326004028
34.0834,35.49147549,33.46586990356445,64.7498,64.50082597,65.28627014160156,1.1351,1.128438653,1.0940417051315308
34.1634,35.58165103,33.562992095947266,64.729,64.48211605,65.27732849121094,1.123,1.12400308,1.081892728805542
34.0391,35.39782135,33.380714416503906,64.6666,64.45815474,65.22168731689453,1.1098,1.128390273,1.097447156906128
35.7794,37.38469101,34.74763870239258,63.3489,62.65111545,64.60196685791016,1.598,1.615545302,1.6107800006866455
35.5309,37.25195841,34.604042053222656,63.2641,62.58240094,64.52623748779297,1.6255,1.618195605,1.6177167892456055
35.8346,37.47653841,34.853515625,63.2954,62.62475328,64.59970092773438,1.598,1.608197185,1.602440357208252
32.1167,34.45637189,32.33668899536133,64.4304,63.20340572,64.50408172607422,2.0988,2.082207314,1.9185017347335815
32.0682,34.39976834,32.29475402832031,64.4082,63.1836339,64.51532745361328,2.0487,2.0846107,1.9159748554229736
31.9924,34.33135176,32.24053192138672,64.4112,63.17698651,64.55081939697266,2.0941,2.088181556,1.9122976064682007
