Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,32.851253509521484,55.8363,54.86720287,56.89169692993164,1.4075,1.368130956,1.282366394996643
33.4237,34.98746265,32.73817825317383,56.0092,54.85814728,56.904415130615234,1.4288,1.376794256,1.2911795377731323
33.6627,35.25413909,32.95298385620117,56.0744,54.93088563,56.86912536621094,1.4075,1.364961288,1.2816529273986816
34.0641,36.16073869,33.785030364990234,64.7119,63.64555128,64.72276306152344,2.0988,2.004611576,1.8757877349853516
34.2121,36.30626093,33.91951370239258,64.7208,63.66766071,64.66726684570312,2.0487,1.998075621,1.8773224353790283
34.3609,36.431598,34.03880310058594,64.8056,63.73537183,64.67044067382812,2.0052,1.996374393,1.8806288242340088
33.3564,34.89368045,33.19481658935547,66.112,65.33433328,65.37791442871094,1.3868,1.381707961,1.3633835315704346
33.1354,34.60677149,33.00411605834961,66.0814,65.22227672,65.40245819091797,1.3668,1.38715286,1.356681227684021
33.3162,34.86044924,33.172340393066406,66.0898,65.30870243,65.36661529541016,1.3848,1.382099535,1.3629271984100342
34.339,36.4364716,34.05647659301758,64.7182,63.72216188,64.65103149414062,2.0052,1.996656313,1.8782696723937988
34.4295,36.35810091,33.9820442199707,64.7837,63.71163744,64.68144989013672,2.0052,1.999782852,1.8777806758880615
34.3078,36.28490012,33.91353988647461,64.7561,63.66763336,64.67557525634766,2.0487,2.000663338,1.8753721714019775
34.3692,35.96340577,33.348812103271484,55.0317,54.05987679,56.10600662231445,1.0843,1.069725352,1.0074462890625
34.3832,35.95915417,33.349971771240234,55.018,54.07085723,56.114112854003906,1.123,1.070394655,1.0072813034057617
34.3098,35.87807259,33.287322998046875,55.0008,54.05483261,56.13856506347656,1.123,1.073421357,1.0088051557540894
33.3257,34.52011259,32.57500457763672,55.9979,55.56729861,56.74931716918945,0.857,0.7491043823,0.7098033428192139
33.2663,34.44114787,32.509822845458984,55.9708,55.54963815,56.746971130371094,0.8729,0.7509123426,0.7107194066047668
33.2044,34.42965591,32.502933502197266,55.9284,55.51702424,56.71259689331055,0.8818,0.7495337542,0.7100845575332642
34.0834,35.49147549,33.05101776123047,64.7498,64.50082597,65.47344207763672,1.1351,1.128438653,1.054893970489502
34.1634,35.58165103,33.12345886230469,64.729,64.48211605,65.42155456542969,1.123,1.12400308,1.0512831211090088
34.0391,35.39782135,32.98991775512695,64.6666,64.45815474,65.45076751708984,1.1098,1.128390273,1.0512244701385498
35.7794,37.38469101,34.214473724365234,63.3489,62.65111545,63.931243896484375,1.598,1.615545302,1.5735251903533936
35.5309,37.25195841,34.09830856323242,63.2641,62.58240094,63.908260345458984,1.6255,1.618195605,1.5758782625198364
35.8346,37.47653841,34.29874038696289,63.2954,62.62475328,63.870025634765625,1.598,1.608197185,1.5657459497451782
32.1167,34.45637189,32.008583068847656,64.4304,63.20340572,64.68343353271484,2.0988,2.082207314,1.9021730422973633
32.0682,34.39976834,31.95854949951172,64.4082,63.1836339,64.6643295288086,2.0487,2.0846107,1.90108060836792
31.9924,34.33135176,31.890031814575195,64.4112,63.17698651,64.6644287109375,2.0941,2.088181556,1.9008212089538574
30.7496,32.58066046,31.22362518310547,65.6165,64.84270863,65.5654296875,1.4288,1.446792978,1.296299695968628
