Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.50439453125,55.8363,54.86720287,57.211055755615234,1.4075,1.368130956,1.5735273361206055
33.4237,34.98746265,33.345672607421875,56.0092,54.85814728,57.175575256347656,1.4288,1.376794256,1.5793542861938477
33.6627,35.25413909,33.63770294189453,56.0744,54.93088563,57.30416488647461,1.4075,1.364961288,1.5743458271026611
34.0641,36.16073869,34.18080139160156,64.7119,63.64555128,66.38926696777344,2.0988,2.004611576,2.1292476654052734
34.2121,36.30626093,34.36629104614258,64.7208,63.66766071,66.36514282226562,2.0487,1.998075621,2.136249542236328
34.3609,36.431598,34.520347595214844,64.8056,63.73537183,66.39679718017578,2.0052,1.996374393,2.142855405807495
33.3564,34.89368045,33.3410758972168,66.112,65.33433328,66.70975494384766,1.3868,1.381707961,1.3626636266708374
33.1354,34.60677149,33.04590606689453,66.0814,65.22227672,66.60369873046875,1.3668,1.38715286,1.3653340339660645
33.3162,34.86044924,33.30527114868164,66.0898,65.30870243,66.69132995605469,1.3848,1.382099535,1.3636995553970337
34.339,36.4364716,34.52690505981445,64.7182,63.72216188,66.37666320800781,2.0052,1.996656313,2.1410155296325684
34.4295,36.35810091,34.430118560791016,64.7837,63.71163744,66.38774108886719,2.0052,1.999782852,2.1375937461853027
34.3078,36.28490012,34.33992004394531,64.7561,63.66763336,66.36463165283203,2.0487,2.000663338,2.133218765258789
34.3692,35.96340577,34.54835891723633,55.0317,54.05987679,56.75312805175781,1.0843,1.069725352,1.2235256433486938
34.3832,35.95915417,34.54327392578125,55.018,54.07085723,56.75650405883789,1.123,1.070394655,1.2224023342132568
34.3098,35.87807259,34.446441650390625,55.0008,54.05483261,56.715328216552734,1.123,1.073421357,1.2234575748443604
33.3257,34.52011259,33.49323654174805,55.9979,55.56729861,57.517086029052734,0.857,0.7491043823,0.7479606866836548
33.2663,34.44114787,33.399375915527344,55.9708,55.54963815,57.477012634277344,0.8729,0.7509123426,0.7466667294502258
33.2044,34.42965591,33.3876953125,55.9284,55.51702424,57.435020446777344,0.8818,0.7495337542,0.7442589402198792
34.0834,35.49147549,34.30133819580078,64.7498,64.50082597,66.46635437011719,1.1351,1.128438653,0.9995909929275513
34.1634,35.58165103,34.40910720825195,64.729,64.48211605,66.44105529785156,1.123,1.12400308,0.9948521256446838
34.0391,35.39782135,34.195823669433594,64.6666,64.45815474,66.43030548095703,1.1098,1.128390273,0.9955369234085083
35.7794,37.38469101,35.89241027832031,63.3489,62.65111545,65.36985778808594,1.598,1.615545302,1.6732841730117798
35.5309,37.25195841,35.720985412597656,63.2641,62.58240094,65.30093383789062,1.6255,1.618195605,1.6785893440246582
35.8346,37.47653841,36.01665115356445,63.2954,62.62475328,65.35089111328125,1.598,1.608197185,1.666395664215088
32.1167,34.45637189,32.26705551147461,64.4304,63.20340572,65.48564910888672,2.0988,2.082207314,2.087911605834961
32.0682,34.39976834,32.21561050415039,64.4082,63.1836339,65.46994018554688,2.0487,2.0846107,2.084764003753662
31.9924,34.33135176,32.14911651611328,64.4112,63.17698651,65.46973419189453,2.0941,2.088181556,2.0814075469970703
30.7496,32.58066046,31.175113677978516,65.6165,64.84270863,66.3232650756836,1.4288,1.446792978,1.3669915199279785
30.7895,32.65235458,31.244598388671875,65.6175,64.89678613,66.32148742675781,1.4288,1.446493852,1.368645429611206
30.8799,32.71384508,31.30105972290039,65.6201,64.88634747,66.27458190917969,1.4288,1.443528981,1.3688488006591797
32.2274,34.45072116,32.2615966796875,64.3159,63.20489591,65.48725128173828,2.0988,2.083461348,2.090399742126465
32.1619,34.32721654,32.14030456542969,64.3405,63.19077089,65.4895248413086,2.0941,2.089174052,2.0854854583740234
32.1302,34.3522464,32.16616439819336,64.2812,63.15171067,65.44329071044922,2.0941,2.085251229,2.0834269523620605
31.3444,33.16042009,31.26648712158203,55.5079,54.37182844,56.545623779296875,1.4967,1.453865468,1.544898509979248
31.2881,33.1092972,31.208229064941406,55.4588,54.33941726,56.530548095703125,1.4734,1.455449851,1.5431318283081055
31.3257,33.15850603,31.26640510559082,55.5026,54.33334232,56.50904846191406,1.4967,1.450518532,1.5406818389892578
30.4335,31.8340096,30.190399169921875,56.405,55.77388078,57.66824722290039,1.0255,1.009637574,0.9600812196731567
30.3533,31.70889116,30.070133209228516,56.402,55.74523453,57.674598693847656,1.0026,1.012248136,0.9525511860847473
30.2822,31.69825581,30.059951782226562,56.4023,55.73675833,57.668392181396484,1.0367,1.011586305,0.9505545496940613
31.8771,33.42874399,31.947702407836914,64.8127,64.04293748,66.02903747558594,1.149,1.169960571,1.0301988124847412
31.9615,33.48934068,32.01064682006836,64.8452,64.07723254,66.05998229980469,1.1365,1.169669684,1.0284899473190308
31.9249,33.48686136,32.00867462158203,64.835,64.05429933,66.03973388671875,1.1645,1.168579129,1.027801275253296
33.4242,35.44827441,33.652015686035156,63.416,62.04316809,64.72002410888672,1.654,1.674409108,1.693398118019104
33.361,35.42126082,33.621498107910156,63.4483,62.04668086,64.71880340576172,1.7457,1.676862867,1.6947942972183228
33.3519,35.4406857,33.64394760131836,63.4357,62.04395414,64.72138977050781,1.6569,1.675034041,1.6944197416305542
32.2507,33.98172145,32.17365264892578,54.8449,53.44046015,55.787288665771484,1.149,1.128895359,1.2443835735321045
32.38,34.08553439,32.29255676269531,54.8331,53.47911558,55.8316764831543,1.1217,1.126224134,1.2471262216567993
32.4041,34.08842478,32.29649353027344,54.7915,53.45640338,55.81019592285156,1.1365,1.124925329,1.2467962503433228
31.0132,32.38122156,31.043386459350586,55.7266,55.06819332,56.86791229248047,0.7864,0.7899918491,0.7263104915618896
31.0449,32.4483631,31.11359214782715,55.745,55.11338661,56.90446090698242,0.7851,0.7901863783,0.7277451157569885
31.0581,32.41173024,31.075489044189453,55.7275,55.07380801,56.86253356933594,0.7735,0.7893005832,0.7249901294708252
31.7147,33.40519123,31.922164916992188,64.6189,64.04062769,66.01160430908203,1.1776,1.171282527,1.0296121835708618
31.7206,33.41984358,31.939897537231445,64.6026,64.00483993,65.979248046875,1.1365,1.167563373,1.0261492729187012
31.8531,33.51289005,32.037391662597656,64.642,64.02691105,66.00938415527344,1.1351,1.165638099,1.024132490158081
32.2986,34.05060073,32.25020980834961,54.6964,53.45855084,55.84150314331055,1.2746,1.128744853,1.25487220287323
32.2969,34.04243825,32.241424560546875,54.6355,53.46109958,55.84617614746094,1.225,1.128881178,1.2548472881317139
32.2969,34.02824985,32.22590637207031,54.6153,53.45158337,55.83364486694336,1.1631,1.129252231,1.2544405460357666
32.6495,34.56036736,32.815643310546875,60.2257,59.23546079,61.52806091308594,1.3265,1.285898673,1.3877092599868774
32.6378,34.55635923,32.805416107177734,60.2909,59.2553327,61.538997650146484,1.2746,1.289580282,1.3917508125305176
32.5881,34.53293266,32.78121566772461,60.3142,59.22624973,61.50236892700195,1.3099,1.288580809,1.3901252746582031
32.6478,33.90896267,32.45943069458008,56.6433,56.15984772,57.84785079956055,0.9072,0.9491579236,1.028247594833374
32.5728,33.8502572,32.39589309692383,56.6653,56.13961498,57.81599044799805,0.8978,0.9498502937,1.0267750024795532
32.4079,33.72854196,32.25914001464844,56.6076,56.13104901,57.78589630126953,1.0482,0.9531437142,1.0256551504135132
33.821,35.68087455,33.66094970703125,60.2526,59.25131125,61.87667465209961,1.654,1.680219506,1.8597404956817627
33.7657,35.63665935,33.61088943481445,60.2597,59.23008931,61.850982666015625,1.654,1.681303583,1.857999563217163
33.8489,35.74716866,33.73931884765625,60.2461,59.22001404,61.83290481567383,1.654,1.673495992,1.8560240268707275
32.743,34.22692946,32.524635314941406,61.2205,60.66483253,62.36278533935547,1.1504,1.164548817,1.2173830270767212
32.9853,34.46951389,32.762908935546875,61.2283,60.71410934,62.471126556396484,1.1365,1.15839993,1.2093803882598877
32.874,34.3154859,32.61190414428711,61.2422,60.68542786,62.40350341796875,1.123,1.16194643,1.2136497497558594
32.1568,34.27469687,32.20907211303711,61.9238,60.75913098,62.80972671508789,1.6835,1.647194055,1.7120912075042725
32.0083,34.14815323,32.07302474975586,61.8653,60.71685148,62.72399139404297,1.6835,1.649771479,1.7040784358978271
31.9878,34.13027436,32.05531692504883,61.8571,60.71668495,62.71997833251953,1.6865,1.648707037,1.7022168636322021
35.0677,36.68472164,35.02360916137695,64.2703,63.40108006,66.17953491210938,1.4734,1.790379386,1.5915930271148682
34.8792,36.52151011,34.80710983276367,64.2502,63.35795179,66.25755310058594,1.4508,1.791303963,1.5751620531082153
34.9075,36.58941413,34.8789176940918,64.2326,63.34887058,66.20195007324219,1.4288,1.777690666,1.5548505783081055
34.1742,35.48282578,34.34640121459961,55.4281,54.62498974,53.88178253173828,0.916,1.187844722,0.9352116584777832
34.0578,35.39345019,34.24795150756836,55.4348,54.63064332,53.91212844848633,0.9152,1.197727563,0.9463880062103271
34.0134,35.35185012,34.20043182373047,55.406,54.59056192,53.83248519897461,0.9152,1.193352523,0.9338994026184082
