Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.61355209350586,55.8363,54.86720287,56.1245002746582,1.4075,1.368130956,1.415800929069519
33.4237,34.98746265,33.46453094482422,56.0092,54.85814728,56.13575744628906,1.4288,1.376794256,1.4212915897369385
33.6627,35.25413909,33.73889923095703,56.0744,54.93088563,56.166015625,1.4075,1.364961288,1.4156737327575684
34.0641,36.16073869,34.044212341308594,64.7119,63.64555128,65.26585388183594,2.0988,2.004611576,1.998956322669983
34.2121,36.30626093,34.17656707763672,64.7208,63.66766071,65.19847869873047,2.0487,1.998075621,1.9942594766616821
34.3609,36.431598,34.290287017822266,64.8056,63.73537183,65.19532775878906,2.0052,1.996374393,1.9924944639205933
33.3564,34.89368045,33.009666442871094,66.112,65.33433328,65.71527099609375,1.3868,1.381707961,1.284522533416748
33.1354,34.60677149,32.70164108276367,66.0814,65.22227672,65.7428970336914,1.3668,1.38715286,1.2845085859298706
33.3162,34.86044924,32.97488784790039,66.0898,65.30870243,65.70689392089844,1.3848,1.382099535,1.2848310470581055
34.339,36.4364716,34.30167007446289,64.7182,63.72216188,65.17562866210938,2.0052,1.996656313,1.9903308153152466
34.4295,36.35810091,34.22908401489258,64.7837,63.71163744,65.21257781982422,2.0052,1.999782852,1.9930106401443481
34.3078,36.28490012,34.16358184814453,64.7561,63.66763336,65.20988464355469,2.0487,2.000663338,1.9936413764953613
34.3692,35.96340577,34.324676513671875,55.0317,54.05987679,55.0792350769043,1.0843,1.069725352,1.1847478151321411
34.3832,35.95915417,34.32024383544922,55.018,54.07085723,55.09020233154297,1.123,1.070394655,1.1839960813522339
34.3098,35.87807259,34.24065017700195,55.0008,54.05483261,55.10877227783203,1.123,1.073421357,1.188119649887085
33.3257,34.52011259,32.97821807861328,55.9979,55.56729861,56.30618667602539,0.857,0.7491043823,0.8187116384506226
33.2663,34.44114787,32.904815673828125,55.9708,55.54963815,56.30946350097656,0.8729,0.7509123426,0.8226192593574524
33.2044,34.42965591,32.89759826660156,55.9284,55.51702424,56.275001525878906,0.8818,0.7495337542,0.8212053775787354
34.0834,35.49147549,33.46098327636719,64.7498,64.50082597,64.84849548339844,1.1351,1.128438653,1.0887377262115479
