Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.535560607910156,55.8363,54.86720287,55.7469596862793,1.4075,1.368130956,1.4837195873260498
33.4237,34.98746265,33.38243865966797,56.0092,54.85814728,55.75711441040039,1.4288,1.376794256,1.4874714612960815
33.6627,35.25413909,33.666927337646484,56.0744,54.93088563,55.79161834716797,1.4075,1.364961288,1.4839367866516113
34.0641,36.16073869,34.21501541137695,64.7119,63.64555128,63.83151626586914,2.0988,2.004611576,1.8456155061721802
34.2121,36.30626093,34.36109161376953,64.7208,63.66766071,63.80480194091797,2.0487,1.998075621,1.846724510192871
34.3609,36.431598,34.485591888427734,64.8056,63.73537183,63.83002853393555,2.0052,1.996374393,1.8482882976531982
33.3564,34.89368045,33.43963623046875,66.112,65.33433328,64.88243865966797,1.3868,1.381707961,1.428464651107788
33.1354,34.60677149,33.14297866821289,66.0814,65.22227672,64.8277816772461,1.3668,1.38715286,1.43369460105896
33.3162,34.86044924,33.40528869628906,66.0898,65.30870243,64.86314392089844,1.3848,1.382099535,1.4294065237045288
34.339,36.4364716,34.499080657958984,64.7182,63.72216188,63.813438415527344,2.0052,1.996656313,1.846495509147644
34.4295,36.35810091,34.420040130615234,64.7837,63.71163744,63.828460693359375,2.0052,1.999782852,1.8462669849395752
34.3078,36.28490012,34.34783935546875,64.7561,63.66763336,63.810142517089844,2.0487,2.000663338,1.8450127840042114
34.3692,35.96340577,34.128658294677734,55.0317,54.05987679,55.05771255493164,1.0843,1.069725352,1.2743701934814453
34.3832,35.95915417,34.125064849853516,55.018,54.07085723,55.06735610961914,1.123,1.070394655,1.273317575454712
34.3098,35.87807259,34.0372200012207,55.0008,54.05483261,55.063194274902344,1.123,1.073421357,1.2737975120544434
33.3257,34.52011259,33.083091735839844,55.9979,55.56729861,55.74959945678711,0.857,0.7491043823,0.8278135657310486
33.2663,34.44114787,32.99978256225586,55.9708,55.54963815,55.74119186401367,0.8729,0.7509123426,0.829073429107666
33.2044,34.42965591,32.98973083496094,55.9284,55.51702424,55.711029052734375,0.8818,0.7495337542,0.82676100730896
34.0834,35.49147549,33.88236999511719,64.7498,64.50082597,64.01566314697266,1.1351,1.128438653,1.21134614944458
34.1634,35.58165103,33.97891616821289,64.729,64.48211605,63.980655670166016,1.123,1.12400308,1.2059741020202637
34.0391,35.39782135,33.78813171386719,64.6666,64.45815474,64.00090026855469,1.1098,1.128390273,1.2091810703277588
35.7794,37.38469101,35.05778503417969,63.3489,62.65111545,63.207847595214844,1.598,1.615545302,1.6439955234527588
35.5309,37.25195841,34.91658401489258,63.2641,62.58240094,63.186485290527344,1.6255,1.618195605,1.6456862688064575
35.8346,37.47653841,35.15958786010742,63.2954,62.62475328,63.15055465698242,1.598,1.608197185,1.6399246454238892
32.1167,34.45637189,32.43233108520508,64.4304,63.20340572,63.8182487487793,2.0988,2.082207314,1.8553764820098877
32.0682,34.39976834,32.3782958984375,64.4082,63.1836339,63.807491302490234,2.0487,2.0846107,1.8545176982879639
31.9924,34.33135176,32.30708694458008,64.4112,63.17698651,63.81879806518555,2.0941,2.088181556,1.8538103103637695
30.7496,32.58066046,31.0560359954834,65.6165,64.84270863,64.7004623413086,1.4288,1.446792978,1.4721028804779053
30.7895,32.65235458,31.128887176513672,65.6175,64.89678613,64.74659729003906,1.4288,1.446493852,1.4716817140579224
30.8799,32.71384508,31.191696166992188,65.6201,64.88634747,64.73567199707031,1.4288,1.443528981,1.4690964221954346
32.2274,34.45072116,32.429325103759766,64.3159,63.20489591,63.81178665161133,2.0988,2.083461348,1.8567020893096924
32.1619,34.32721654,32.29609680175781,64.3405,63.19077089,63.83134460449219,2.0941,2.089174052,1.8564481735229492
32.1302,34.3522464,32.32559585571289,64.2812,63.15171067,63.787845611572266,2.0941,2.085251229,1.8550193309783936
31.3444,33.16042009,31.402584075927734,55.5079,54.37182844,55.72091293334961,1.4967,1.453865468,1.5016416311264038
31.2881,33.1092972,31.352710723876953,55.4588,54.33941726,55.703548431396484,1.4734,1.455449851,1.501096487045288
31.3257,33.15850603,31.40340805053711,55.5026,54.33334232,55.6839714050293,1.4967,1.450518532,1.498666524887085
30.4335,31.8340096,30.330778121948242,56.405,55.77388078,56.52727127075195,1.0255,1.009637574,1.1021835803985596
30.3533,31.70889116,30.200952529907227,56.402,55.74523453,56.530982971191406,1.0026,1.012248136,1.103837490081787
30.2822,31.69825581,30.190147399902344,56.4023,55.73675833,56.52542495727539,1.0367,1.011586305,1.1028289794921875
31.8771,33.42874399,31.709470748901367,64.8127,64.04293748,63.96856689453125,1.149,1.169960571,1.2505676746368408
31.9615,33.48934068,31.772754669189453,64.8452,64.07723254,63.99470901489258,1.1365,1.169669684,1.2491085529327393
31.9249,33.48686136,31.770360946655273,64.835,64.05429933,63.97453689575195,1.1645,1.168579129,1.2479833364486694
33.4242,35.44827441,32.93601608276367,63.416,62.04316809,63.256649017333984,1.654,1.674409108,1.6542068719863892
33.361,35.42126082,32.90442657470703,63.4483,62.04668086,63.26934814453125,1.7457,1.676862867,1.655266523361206
33.3519,35.4406857,32.92695236206055,63.4357,62.04395414,63.25791931152344,1.6569,1.675034041,1.6550734043121338
32.2507,33.98172145,31.924060821533203,54.8449,53.44046015,54.95112609863281,1.149,1.128895359,1.2925748825073242
32.38,34.08553439,32.03949737548828,54.8331,53.47911558,54.952537536621094,1.1217,1.126224134,1.291651964187622
32.4041,34.08842478,32.04426193237305,54.7915,53.45640338,54.928802490234375,1.1365,1.124925329,1.2915138006210327
31.0132,32.38122156,30.81472396850586,55.7266,55.06819332,55.6647834777832,0.7864,0.7899918491,0.8665655255317688
31.0449,32.4483631,30.883235931396484,55.745,55.11338661,55.69144058227539,0.7851,0.7901863783,0.8658362030982971
31.0581,32.41173024,30.84688377380371,55.7275,55.07380801,55.66326141357422,0.7735,0.7893005832,0.8639419078826904
31.7147,33.40519123,31.684242248535156,64.6189,64.04062769,63.97712707519531,1.1776,1.171282527,1.249910831451416
31.7206,33.41984358,31.70220947265625,64.6026,64.00483993,63.94081115722656,1.1365,1.167563373,1.2460274696350098
31.8531,33.51289005,31.799421310424805,64.642,64.02691105,63.94892120361328,1.1351,1.165638099,1.2437541484832764
32.2986,34.05060073,31.995622634887695,54.6964,53.45855084,54.949459075927734,1.2746,1.128744853,1.299560785293579
32.2969,34.04243825,31.98644256591797,54.6355,53.46109958,54.95362091064453,1.225,1.128881178,1.299730896949768
32.2969,34.02824985,31.970869064331055,54.6153,53.45158337,54.94988250732422,1.1631,1.129252231,1.2997524738311768
32.6495,34.56036736,32.66371536254883,60.2257,59.23546079,59.8378791809082,1.3265,1.285898673,1.369372844696045
32.6378,34.55635923,32.66322708129883,60.2909,59.2553327,59.85600662231445,1.2746,1.289580282,1.3714531660079956
32.5881,34.53293266,32.63766860961914,60.3142,59.22624973,59.832496643066406,1.3099,1.288580809,1.3706250190734863
32.6478,33.90896267,32.525306701660156,56.6433,56.15984772,56.51432418823242,0.9072,0.9491579236,1.0502772331237793
32.5728,33.8502572,32.46338653564453,56.6653,56.13961498,56.501991271972656,0.8978,0.9498502937,1.0498145818710327
32.4079,33.72854196,32.334442138671875,56.6076,56.13104901,56.508426666259766,1.0482,0.9531437142,1.050816535949707
33.821,35.68087455,33.89305877685547,60.2526,59.25131125,59.80817794799805,1.654,1.680219506,1.6780545711517334
33.7657,35.63665935,33.84768295288086,60.2597,59.23008931,59.79677200317383,1.654,1.681303583,1.677496075630188
33.8489,35.74716866,33.96711730957031,60.2461,59.22001404,59.76613235473633,1.654,1.673495992,1.674248218536377
32.743,34.22692946,32.783138275146484,61.2205,60.66483253,60.68900680541992,1.1504,1.164548817,1.2479608058929443
32.9853,34.46951389,33.038516998291016,61.2283,60.71410934,60.69966125488281,1.1365,1.15839993,1.24443519115448
32.874,34.3154859,32.87596893310547,61.2422,60.68542786,60.69570541381836,1.123,1.16194643,1.24617600440979
32.1568,34.27469687,32.28434371948242,61.9238,60.75913098,61.528751373291016,1.6835,1.647194055,1.6195076704025269
32.0083,34.14815323,32.14274978637695,61.8653,60.71685148,61.5203971862793,1.6835,1.649771479,1.6196694374084473
31.9878,34.13027436,32.115150451660156,61.8571,60.71668495,61.5311164855957,1.6865,1.648707037,1.6198961734771729
35.0677,36.68472164,34.74230194091797,64.2703,63.40108006,64.55242156982422,1.4734,1.790379386,1.4648418426513672
34.8792,36.52151011,34.561397552490234,64.2502,63.35795179,64.52391815185547,1.4508,1.791303963,1.4520163536071777
34.9075,36.58941413,34.62282180786133,64.2326,63.34887058,64.51428985595703,1.4288,1.777690666,1.4285539388656616
34.1742,35.48282578,34.01372528076172,55.4281,54.62498974,56.73207092285156,0.916,1.187844722,0.9922122955322266
34.0578,35.39345019,33.91959762573242,55.4348,54.63064332,56.70044708251953,0.9152,1.197727563,1.0056487321853638
34.0134,35.35185012,33.87556457519531,55.406,54.59056192,56.685646057128906,0.9152,1.193352523,0.996361494064331
33.9291,35.11349513,33.459957122802734,65.1912,64.83802275,65.53036499023438,0.8343,1.177714606,0.9227321147918701
33.9478,35.15837439,33.494140625,65.196,64.82572072,65.51983642578125,0.827,1.165312486,0.899765133857727
33.9711,35.127111,33.45448684692383,65.2201,64.79755351,65.50218200683594,0.827,1.158073045,0.884837806224823
33.2443,34.16555244,32.737300872802734,56.2766,55.86081083,57.65535354614258,0.5391,0.8013071598,0.5123308897018433
33.228,34.17788529,32.75132369995117,56.2494,55.84049604,57.66587829589844,0.5209,0.796094392,0.5024266242980957
33.2018,34.12746187,32.70075988769531,56.2442,55.81619082,57.700897216796875,0.5069,0.7900657525,0.4865286350250244
37.5831,39.11249365,37.27720260620117,63.5963,62.82419786,63.714935302734375,0.9931,1.350731185,1.1029328107833862
37.5394,39.0324795,37.21524429321289,63.6099,62.79459138,63.69049835205078,0.9818,1.358056755,1.1148518323898315
37.3633,38.89391997,37.078147888183594,63.6019,62.7766719,63.697383880615234,0.9931,1.364281543,1.117540955543518
35.5669,36.85636771,35.74220657348633,54.9426,54.11654856,55.80942153930664,0.6165,0.89298291,0.701205313205719
35.6097,36.88269657,35.76951217651367,54.9271,54.11110937,55.81254196166992,0.6043,0.8907980796,0.698982834815979
35.5364,36.80998816,35.689029693603516,54.9107,54.10277279,55.82004928588867,0.6161,0.8913274252,0.6936467885971069
33.7448,34.72839547,33.8017578125,55.6811,55.30373993,56.598350524902344,0.3043,0.5969295401,0.16974127292633057
33.7117,34.69399984,33.76647186279297,55.6815,55.29343884,56.60359573364258,0.3368,0.596336028,0.16723263263702393
33.6984,34.71035723,33.78316879272461,55.6824,55.30828866,56.570831298828125,0.3479,0.6013727568,0.17747080326080322
34.5407,35.77891646,34.472259521484375,64.5478,64.17597708,64.66580200195312,0.5752,0.9376285968,0.6355078816413879
34.5616,35.8162868,34.52070617675781,64.5647,64.20167589,64.6697998046875,0.5748,0.9440042366,0.6492245197296143
34.5906,35.73138068,34.43343734741211,64.7795,64.18007736,64.66352081298828,0.5752,0.9468948069,0.6522048711776733
33.3275,34.95169809,33.3389892578125,59.8693,58.95782402,60.585453033447266,0.8425,1.080464988,0.7569833993911743
33.2554,34.87570842,33.259742736816406,59.9096,58.98029511,60.54555892944336,0.857,1.098256278,0.7896742224693298
33.3336,34.97589105,33.37230682373047,59.9152,59.02769256,60.545654296875,0.841,1.103748741,0.8053237795829773
32.495,33.68129926,32.259010314941406,64.4164,63.72719251,64.4993667602539,0.5929,0.9682123737,0.6459266543388367
32.6122,33.76767095,32.346160888671875,64.4335,63.77126812,64.50452423095703,0.5899,0.9870435158,0.685053825378418
32.5147,33.66390265,32.2375602722168,64.4553,63.78002094,64.51112365722656,0.6125,0.9921492501,0.6934058666229248
32.6922,34.19069326,32.74058532714844,54.3555,53.32032468,55.4266471862793,0.6373,0.9646561794,0.7226828932762146
32.636,34.15276994,32.697566986083984,54.323,53.30238914,55.411720275878906,0.655,0.9664773492,0.7259944081306458
32.6858,34.17587983,32.725921630859375,54.3223,53.30246825,55.42228698730469,0.6456,0.9635415711,0.7205209136009216
35.8754,37.50480347,35.639522552490234,63.2214,62.37538457,63.49825668334961,0.9921,1.424994287,1.1753742694854736
36.0245,37.59554603,35.734092712402344,63.2724,62.43000382,63.541439056396484,1.0037,1.422009067,1.1699342727661133
35.9296,37.56395005,35.69171905517578,63.2705,62.40948287,63.53229522705078,0.9717,1.418125768,1.1597729921340942
32.8717,34.67306786,32.59139633178711,64.1361,62.86251796,64.11337280273438,1.3868,1.855268961,1.4680935144424438
33.0437,34.76170336,32.68378448486328,64.1739,62.86614707,64.1121826171875,1.3473,1.841443292,1.442421793937683
32.7292,34.46099956,32.369056701660156,64.1209,62.83929474,64.09630584716797,1.4075,1.878127714,1.5044342279434204
31.1476,32.0880959,30.602962493896484,56.2171,55.46456333,57.53468322753906,0.536,0.8519401182,0.5316105484962463
31.0474,31.99389011,30.517444610595703,56.2084,55.43962243,57.556297302246094,0.5297,0.8503583459,0.5260201096534729
31.1745,32.11984398,30.652711868286133,56.2181,55.45706278,57.59671401977539,0.5152,0.8417418575,0.5110032558441162
31.7819,32.95274804,31.243391036987305,65.3306,64.5177309,65.3366928100586,0.8418,1.259225169,1.0081677436828613
31.6988,32.92794421,31.225170135498047,65.3195,64.51588776,65.33444213867188,0.827,1.25255532,0.991521954536438
31.8418,33.04739492,31.343420028686523,65.3106,64.50795402,65.3323974609375,0.8205,1.248124137,0.9869364500045776
33.8804,35.63993785,33.47981262207031,63.1533,61.86527173,63.18958282470703,1.1351,1.479872458,1.202234148979187
33.9273,35.62317198,33.459632873535156,63.1444,61.85594593,63.1849479675293,1.06,1.476675026,1.1938117742538452
33.9467,35.63985072,33.47688674926758,63.1395,61.85091374,63.18321990966797,1.1504,1.471748125,1.1830922365188599
31.6606,32.57904195,31.50507354736328,55.7049,54.96320715,56.294410705566406,0.396,0.6800002402,0.2944682240486145
31.5081,32.52677337,31.460302352905273,55.6224,54.92832723,56.31903076171875,0.5418,0.6755881512,0.2825661301612854
31.663,32.57299606,31.520307540893555,55.6432,54.91552851,56.34325408935547,0.3895,0.6685464779,0.2662862539291382
34.907,36.09766396,34.923004150390625,54.9113,53.89835255,55.57682418823242,0.6046,0.9200126422,0.7119840383529663
34.981,36.16782265,34.994205474853516,54.9112,53.91676824,55.64845275878906,0.5823,0.911060253,0.6950178146362305
34.9285,36.10050741,34.924171447753906,54.8837,53.88383207,55.592620849609375,0.5966,0.9157166,0.7029085755348206
31.9153,33.40616175,31.779407501220703,54.9455,54.08956293,56.4739875793457,0.8737,1.269631011,1.0266168117523193
32.0011,33.47389617,31.849384307861328,54.9426,54.12640272,56.495018005371094,0.8418,1.267733181,1.0252107381820679
31.9551,33.40949835,31.782487869262695,54.9137,54.09393503,56.47682571411133,0.8351,1.268975158,1.025977611541748
32.6879,34.20849584,32.5634765625,60.2465,59.603281,60.452640533447266,1.1504,1.369047536,1.223615288734436
32.6857,34.19155659,32.54227828979492,60.2355,59.59294498,60.443199157714844,1.1791,1.372067994,1.23244309425354
32.7972,34.28345351,32.64280700683594,60.2759,59.62464623,60.46934509277344,1.1645,1.370304541,1.2326675653457642
32.7731,34.63400593,32.99968338012695,60.2173,59.13190528,60.01283645629883,1.0843,1.211296238,1.0852936506271362
32.8946,34.71094642,33.08772277832031,60.1724,59.14104383,60.01520538330078,1.1631,1.207060658,1.081095814704895
32.7845,34.57068414,32.929054260253906,60.1464,59.1117791,59.99745559692383,1.06,1.212222161,1.0844224691390991
33.5542,35.50432291,33.695377349853516,59.6725,58.38205092,59.47029495239258,1.3283,1.427557593,1.3367950916290283
33.653,35.48595528,33.675148010253906,59.8015,58.35826875,59.44822692871094,1.4054,1.424488543,1.332854986190796
33.5897,35.41864808,33.59938430786133,59.821,58.35376783,59.44952392578125,1.2746,1.429161347,1.3339706659317017
31.8551,33.55004696,31.77375602722168,60.2223,58.87005361,59.85390853881836,1.1085,1.240234048,1.1130810976028442
31.9073,33.63677239,31.87016487121582,60.2259,58.88925174,59.86407470703125,1.1085,1.238158421,1.1123894453048706
31.9511,33.67443837,31.911897659301758,60.1957,58.89040777,59.86140441894531,1.1098,1.237304193,1.1124932765960693
32.9467,34.56978879,32.9316291809082,60.3805,59.12144977,60.006099700927734,1.0708,1.210375594,1.0767581462860107
33.0619,34.67962933,33.05881118774414,60.3636,59.12197952,59.99506759643555,1.0969,1.204107026,1.0701717138290405
33.1361,34.74113295,33.12880325317383,60.3672,59.14001798,60.00732421875,1.0356,1.204118096,1.0700856447219849
33.0579,34.62579764,32.998294830322266,60.349,59.1252035,60.00332260131836,1.06,1.206448106,1.0696622133255005
33.0547,34.66832224,33.047725677490234,60.2624,59.11469551,59.98778533935547,1.0482,1.204293208,1.067554235458374
33.0854,34.75626352,33.14563751220703,60.1348,59.14874683,60.01610565185547,1.1365,1.202307121,1.0675334930419922
33.2703,35.12061023,33.34613037109375,64.6067,63.54592106,64.60887145996094,1.3081,1.459253078,1.3153427839279175
33.3463,35.23238001,33.47256851196289,64.6435,63.5864292,64.64022064208984,1.292,1.456704523,1.314220666885376
