Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.44563674926758,55.8363,54.86720287,56.039249420166016,1.4075,1.368130956,1.4147536754608154
33.4237,34.98746265,33.28541946411133,56.0092,54.85814728,56.059051513671875,1.4288,1.376794256,1.4199130535125732
33.6627,35.25413909,33.582542419433594,56.0744,54.93088563,56.08123779296875,1.4075,1.364961288,1.414440393447876
34.0641,36.16073869,34.10158920288086,64.7119,63.64555128,65.1229019165039,2.0988,2.004611576,1.8747450113296509
34.2121,36.30626093,34.24907302856445,64.7208,63.66766071,65.09210205078125,2.0487,1.998075621,1.8738073110580444
34.3609,36.431598,34.374794006347656,64.8056,63.73537183,65.1153564453125,2.0052,1.996374393,1.8736581802368164
33.3564,34.89368045,33.22718048095703,66.112,65.33433328,65.65467834472656,1.3868,1.381707961,1.434075117111206
33.1354,34.60677149,32.922828674316406,66.0814,65.22227672,65.63237762451172,1.3668,1.38715286,1.4354159832000732
33.3162,34.86044924,33.191810607910156,66.0898,65.30870243,65.63871002197266,1.3848,1.382099535,1.434640645980835
34.339,36.4364716,34.38328170776367,64.7182,63.72216188,65.09750366210938,2.0052,1.996656313,1.8722385168075562
34.4295,36.35810091,34.30391311645508,64.7837,63.71163744,65.11640930175781,2.0052,1.999782852,1.8732869625091553
34.3078,36.28490012,34.230804443359375,64.7561,63.66763336,65.0985107421875,2.0487,2.000663338,1.8729956150054932
34.3692,35.96340577,34.58309555053711,55.0317,54.05987679,54.89419174194336,1.0843,1.069725352,1.1130253076553345
34.3832,35.95915417,34.57874298095703,55.018,54.07085723,54.902469635009766,1.123,1.070394655,1.1124123334884644
34.3098,35.87807259,34.4796028137207,55.0008,54.05483261,54.89634323120117,1.123,1.073421357,1.1136667728424072
33.3257,34.52011259,33.340728759765625,55.9979,55.56729861,55.83449172973633,0.857,0.7491043823,0.7379186153411865
33.2663,34.44114787,33.248836517333984,55.9708,55.54963815,55.82312774658203,0.8729,0.7509123426,0.7380765676498413
33.2044,34.42965591,33.23773193359375,55.9284,55.51702424,55.79092788696289,0.8818,0.7495337542,0.7358717918395996
34.0834,35.49147549,34.1104621887207,64.7498,64.50082597,64.81256103515625,1.1351,1.128438653,1.146304965019226
34.1634,35.58165103,34.2130241394043,64.729,64.48211605,64.75819396972656,1.123,1.12400308,1.1424583196640015
34.0391,35.39782135,34.010398864746094,64.6666,64.45815474,64.80603790283203,1.1098,1.128390273,1.1424683332443237
