Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
33.4887,35.1291668,33.361778259277344,55.8363,54.86720287,55.848976135253906,1.4075,1.368130956,1.3529833555221558
33.4237,34.98746265,33.19511413574219,56.0092,54.85814728,55.88740539550781,1.4288,1.376794256,1.3627464771270752
33.6627,35.25413909,33.505104064941406,56.0744,54.93088563,55.8742561340332,1.4075,1.364961288,1.3491995334625244
34.0641,36.16073869,33.97782897949219,64.7119,63.64555128,64.8686294555664,2.0988,2.004611576,1.9256248474121094
34.2121,36.30626093,34.14680862426758,64.7208,63.66766071,64.86298370361328,2.0487,1.998075621,1.9209648370742798
34.3609,36.431598,34.289241790771484,64.8056,63.73537183,64.908203125,2.0052,1.996374393,1.9194092750549316
33.3564,34.89368045,33.310089111328125,66.112,65.33433328,66.16534423828125,1.3868,1.381707961,1.3500263690948486
33.1354,34.60677149,32.99160385131836,66.0814,65.22227672,66.0884780883789,1.3668,1.38715286,1.3571683168411255
33.3162,34.86044924,33.27354049682617,66.0898,65.30870243,66.14387512207031,1.3848,1.382099535,1.3512241840362549
34.339,36.4364716,34.298160552978516,64.7182,63.72216188,64.8887710571289,2.0052,1.996656313,1.91785728931427
34.4295,36.35810091,34.20724105834961,64.7837,63.71163744,64.8936996459961,2.0052,1.999782852,1.9204931259155273
34.3078,36.28490012,34.12427520751953,64.7561,63.66763336,64.86254119873047,2.0487,2.000663338,1.9210186004638672
34.3692,35.96340577,34.33510971069336,55.0317,54.05987679,55.08857727050781,1.0843,1.069725352,1.0901176929473877
34.3832,35.95915417,34.32978439331055,55.018,54.07085723,55.10194396972656,1.123,1.070394655,1.0897732973098755
34.3098,35.87807259,34.23442077636719,55.0008,54.05483261,55.103858947753906,1.123,1.073421357,1.0925683975219727
33.3257,34.52011259,33.44336700439453,55.9979,55.56729861,56.243019104003906,0.857,0.7491043823,0.811069905757904
33.2663,34.44114787,33.35427474975586,55.9708,55.54963815,56.23866653442383,0.8729,0.7509123426,0.8131313920021057
33.2044,34.42965591,33.34432601928711,55.9284,55.51702424,56.205543518066406,0.8818,0.7495337542,0.8115109205245972
34.0834,35.49147549,33.9591178894043,64.7498,64.50082597,65.4068603515625,1.1351,1.128438653,1.1300417184829712
34.1634,35.58165103,34.06406784057617,64.729,64.48211605,65.37894439697266,1.123,1.12400308,1.1243335008621216
34.0391,35.39782135,33.85803985595703,64.6666,64.45815474,65.36772155761719,1.1098,1.128390273,1.1288388967514038
35.7794,37.38469101,35.34035110473633,63.3489,62.65111545,63.944732666015625,1.598,1.615545302,1.5784187316894531
35.5309,37.25195841,35.188453674316406,63.2641,62.58240094,63.89409637451172,1.6255,1.618195605,1.582364559173584
35.8346,37.47653841,35.45081329345703,63.2954,62.62475328,63.90312957763672,1.598,1.608197185,1.5707709789276123
32.1167,34.45637189,32.00442123413086,64.4304,63.20340572,64.74703979492188,2.0988,2.082207314,2.013535976409912
32.0682,34.39976834,31.94234275817871,64.4082,63.1836339,64.7343978881836,2.0487,2.0846107,2.015641689300537
31.9924,34.33135176,31.864212036132812,64.4112,63.17698651,64.73861694335938,2.0941,2.088181556,2.0186381340026855
30.7496,32.58066046,30.731401443481445,65.6165,64.84270863,65.92437744140625,1.4288,1.446792978,1.4121289253234863
30.7895,32.65235458,30.809309005737305,65.6175,64.89678613,65.97135925292969,1.4288,1.446493852,1.411205530166626
30.8799,32.71384508,30.87934112548828,65.6201,64.88634747,65.95433044433594,1.4288,1.443528981,1.4079937934875488
32.2274,34.45072116,31.998756408691406,64.3159,63.20489591,64.74888610839844,2.0988,2.083461348,2.015768527984619
32.1619,34.32721654,31.855806350708008,64.3405,63.19077089,64.75688934326172,2.0941,2.089174052,2.021688222885132
32.1302,34.3522464,31.887285232543945,64.2812,63.15171067,64.71258544921875,2.0941,2.085251229,2.017728328704834
31.3444,33.16042009,31.076766967773438,55.5079,54.37182844,55.988914489746094,1.4967,1.453865468,1.4479119777679443
31.2881,33.1092972,31.02069854736328,55.4588,54.33941726,55.96888732910156,1.4734,1.455449851,1.4494763612747192
31.3257,33.15850603,31.078357696533203,55.5026,54.33334232,55.94826889038086,1.4967,1.450518532,1.4441399574279785
30.4335,31.8340096,30.381248474121094,56.405,55.77388078,56.87636184692383,1.0255,1.009637574,1.042299747467041
30.3533,31.70889116,30.243263244628906,56.402,55.74523453,56.87632751464844,1.0026,1.012248136,1.0435973405838013
30.2822,31.69825581,30.2326717376709,56.4023,55.73675833,56.86920166015625,1.0367,1.011586305,1.0426359176635742
31.8771,33.42874399,31.658580780029297,64.8127,64.04293748,65.07218933105469,1.149,1.169960571,1.1714648008346558
31.9615,33.48934068,31.72490692138672,64.8452,64.07723254,65.10316467285156,1.1365,1.169669684,1.170426845550537
31.9249,33.48686136,31.72350311279297,64.835,64.05429933,65.08023834228516,1.1645,1.168579129,1.1693847179412842
33.4242,35.44827441,33.117698669433594,63.416,62.04316809,63.62080764770508,1.654,1.674409108,1.633976697921753
33.361,35.42126082,33.08548355102539,63.4483,62.04668086,63.6292610168457,1.7457,1.676862867,1.6361757516860962
33.3519,35.4406857,33.108558654785156,63.4357,62.04395414,63.62276077270508,1.6569,1.675034041,1.6350913047790527
32.2507,33.98172145,32.02424621582031,54.8449,53.44046015,54.941402435302734,1.149,1.128895359,1.1501649618148804
32.38,34.08553439,32.14331817626953,54.8331,53.47911558,54.954315185546875,1.1217,1.126224134,1.147597074508667
32.4041,34.08842478,32.147666931152344,54.7915,53.45640338,54.929683685302734,1.1365,1.124925329,1.1469310522079468
31.0132,32.38122156,31.04141616821289,55.7266,55.06819332,56.114898681640625,0.7864,0.7899918491,0.8484319448471069
31.0449,32.4483631,31.114164352416992,55.745,55.11338661,56.149539947509766,0.7851,0.7901863783,0.8483561873435974
31.0581,32.41173024,31.076406478881836,55.7275,55.07380801,56.114688873291016,0.7735,0.7893005832,0.8467761874198914
31.7147,33.40519123,31.632640838623047,64.6189,64.04062769,65.07080078125,1.1776,1.171282527,1.1711201667785645
31.7206,33.41984358,31.65321922302246,64.6026,64.00483993,65.03257751464844,1.1365,1.167563373,1.1673945188522339
31.8531,33.51289005,31.756086349487305,64.642,64.02691105,65.05000305175781,1.1351,1.165638099,1.1655815839767456
32.2986,34.05060073,32.0982780456543,54.6964,53.45855084,54.94430923461914,1.2746,1.128744853,1.1541763544082642
32.2969,34.04243825,32.08928680419922,54.6355,53.46109958,54.94850158691406,1.225,1.128881178,1.1545342206954956
32.2969,34.02824985,32.072845458984375,54.6153,53.45158337,54.942710876464844,1.1631,1.129252231,1.15474271774292
32.6495,34.56036736,32.79317855834961,60.2257,59.23546079,60.41197967529297,1.3265,1.285898673,1.2877142429351807
32.6378,34.55635923,32.78871154785156,60.2909,59.2553327,60.43029022216797,1.2746,1.289580282,1.290330410003662
32.5881,34.53293266,32.763275146484375,60.3142,59.22624973,60.404911041259766,1.3099,1.288580809,1.2896385192871094
32.6478,33.90896267,32.700618743896484,56.6433,56.15984772,56.73678970336914,0.9072,0.9491579236,0.9868752956390381
32.5728,33.8502572,32.636348724365234,56.6653,56.13961498,56.73053741455078,0.8978,0.9498502937,0.9871105551719666
32.4079,33.72854196,32.50123596191406,56.6076,56.13104901,56.752410888671875,1.0482,0.9531437142,0.9893004894256592
33.821,35.68087455,33.70470428466797,60.2526,59.25131125,60.38032913208008,1.654,1.680219506,1.6359531879425049
33.7657,35.63665935,33.65408706665039,60.2597,59.23008931,60.3696403503418,1.654,1.681303583,1.6368842124938965
33.8489,35.74716866,33.78590393066406,60.2461,59.22001404,60.32836151123047,1.654,1.673495992,1.6283050775527954
32.743,34.22692946,32.81307601928711,61.2205,60.66483253,61.412654876708984,1.1504,1.164548817,1.169429063796997
32.9853,34.46951389,33.08357238769531,61.2283,60.71410934,61.41844940185547,1.1365,1.15839993,1.1639832258224487
32.874,34.3154859,32.911834716796875,61.2422,60.68542786,61.417869567871094,1.123,1.16194643,1.1669387817382812
32.1568,34.27469687,32.152767181396484,61.9238,60.75913098,62.16242980957031,1.6835,1.647194055,1.6118755340576172
32.0083,34.14815323,32.00710678100586,61.8653,60.71685148,62.14504623413086,1.6835,1.649771479,1.6152006387710571
31.9878,34.13027436,31.983566284179688,61.8571,60.71668495,62.151939392089844,1.6865,1.648707037,1.6150951385498047
35.0677,36.68472164,34.77834701538086,64.2703,63.40108006,64.91326904296875,1.4734,1.790379386,1.529923677444458
34.8792,36.52151011,34.60295867919922,64.2502,63.35795179,64.90010833740234,1.4508,1.791303963,1.5213773250579834
34.9075,36.58941413,34.67693328857422,64.2326,63.34887058,64.90318298339844,1.4288,1.777690666,1.4980413913726807
34.1742,35.48282578,33.86283874511719,55.4281,54.62498974,56.077720642089844,0.916,1.187844722,0.9461715221405029
34.0578,35.39345019,33.76552963256836,55.4348,54.63064332,56.08007049560547,0.9152,1.197727563,0.9622054100036621
34.0134,35.35185012,33.72104263305664,55.406,54.59056192,56.0483283996582,0.9152,1.193352523,0.9531603455543518
33.9291,35.11349513,33.6029167175293,65.1912,64.83802275,65.87566375732422,0.8343,1.177714606,0.8491559624671936
33.9478,35.15837439,33.65031814575195,65.196,64.82572072,65.8858871459961,0.827,1.165312486,0.8238430619239807
33.9711,35.127111,33.61524200439453,65.2201,64.79755351,65.87065887451172,0.827,1.158073045,0.8073800802230835
33.2443,34.16555244,32.95607376098633,56.2766,55.86081083,56.870689392089844,0.5391,0.8013071598,0.5594112873077393
33.228,34.17788529,32.970245361328125,56.2494,55.84049604,56.86028289794922,0.5209,0.796094392,0.5483472943305969
33.2018,34.12746187,32.914947509765625,56.2442,55.81619082,56.852386474609375,0.5069,0.7900657525,0.53065025806427
37.5831,39.11249365,37.45811080932617,63.5963,62.82419786,64.23851013183594,0.9931,1.350731185,1.0591484308242798
37.5394,39.0324795,37.3751220703125,63.6099,62.79459138,64.20387268066406,0.9818,1.358056755,1.0732712745666504
37.3633,38.89391997,37.22392272949219,63.6019,62.7766719,64.1971664428711,0.9931,1.364281543,1.0794271230697632
35.5669,36.85636771,35.42104721069336,54.9426,54.11654856,55.4221076965332,0.6165,0.89298291,0.6532026529312134
35.6097,36.88269657,35.44934844970703,54.9271,54.11110937,55.41521453857422,0.6043,0.8907980796,0.6498321294784546
35.5364,36.80998816,35.36899948120117,54.9107,54.10277279,55.41902542114258,0.6161,0.8913274252,0.6459043025970459
33.7448,34.72839547,33.622215270996094,55.6811,55.30373993,56.38698196411133,0.3043,0.5969295401,0.3251301050186157
33.7117,34.69399984,33.585113525390625,55.6815,55.29343884,56.38077926635742,0.3368,0.596336028,0.32214492559432983
33.6984,34.71035723,33.60369110107422,55.6824,55.30828866,56.383296966552734,0.3479,0.6013727568,0.3356832265853882
34.5407,35.77891646,34.3522834777832,64.5478,64.17597708,65.21060943603516,0.5752,0.9376285968,0.6120529174804688
34.5616,35.8162868,34.39459228515625,64.5647,64.20167589,65.22391510009766,0.5748,0.9440042366,0.6282413005828857
34.5906,35.73138068,34.30323791503906,64.7795,64.18007736,65.20024871826172,0.5752,0.9468948069,0.6324169635772705
33.3275,34.95169809,33.36610794067383,59.8693,58.95782402,60.261653900146484,0.8425,1.080464988,0.7574503421783447
33.2554,34.87570842,33.284671783447266,59.9096,58.98029511,60.2700309753418,0.857,1.098256278,0.7942948341369629
33.3336,34.97589105,33.39312744140625,59.9152,59.02769256,60.30134582519531,0.841,1.103748741,0.811211347579956
32.495,33.68129926,32.077667236328125,64.4164,63.72719251,64.83525848388672,0.5929,0.9682123737,0.6132223010063171
32.6122,33.76767095,32.173126220703125,64.4335,63.77126812,64.85269165039062,0.5899,0.9870435158,0.6620197892189026
32.5147,33.66390265,32.0593147277832,64.4553,63.78002094,64.8656005859375,0.6125,0.9921492501,0.6695067882537842
32.6922,34.19069326,32.52236557006836,54.3555,53.32032468,54.93996047973633,0.6373,0.9646561794,0.6975699067115784
32.636,34.15276994,32.481040954589844,54.323,53.30238914,54.9257926940918,0.655,0.9664773492,0.7008496522903442
32.6858,34.17587983,32.50685501098633,54.3223,53.30246825,54.9248161315918,0.6456,0.9635415711,0.6949658393859863
